START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
09/07/21,06:40 PM,07:40 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/07/21,09/07/21,09:40 PM,10:40 PM,FALSE,TRUE,09/07/21,05:40 PM,06:40 PM,FREE,BUSY
09/08/21,06:40 PM,07:40 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/08/21,09/08/21,09:40 PM,10:40 PM,FALSE,TRUE,09/08/21,05:40 PM,06:40 PM,FREE,BUSY
09/10/21,01:20 PM,02:20 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/10/21,09/10/21,04:20 PM,05:20 PM,FALSE,TRUE,09/10/21,12:20 PM,01:20 PM,FREE,BUSY
09/11/21,01:20 PM,02:20 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- MLBN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/11/21,09/11/21,04:20 PM,05:20 PM,FALSE,TRUE,09/11/21,12:20 PM,01:20 PM,FREE,BUSY
09/12/21,01:20 PM,02:20 PM,Giants at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",09/12/21,09/12/21,04:20 PM,05:20 PM,FALSE,TRUE,09/12/21,12:20 PM,01:20 PM,FREE,BUSY
09/21/21,06:40 PM,07:40 PM,Twins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/21/21,09/21/21,09:40 PM,10:40 PM,FALSE,TRUE,09/21/21,05:40 PM,06:40 PM,FREE,BUSY
09/22/21,06:40 PM,07:40 PM,Twins at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/22/21,09/22/21,09:40 PM,10:40 PM,FALSE,TRUE,09/22/21,05:40 PM,06:40 PM,FREE,BUSY
09/24/21,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network- ESPN (out-of-market only) ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/24/21,09/24/21,04:20 PM,05:20 PM,FALSE,TRUE,09/24/21,12:20 PM,01:20 PM,FREE,BUSY
09/24/21,07:05 PM,08:05 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/24/21,09/24/21,10:05 PM,11:05 PM,FALSE,TRUE,09/24/21,06:05 PM,07:05 PM,FREE,BUSY
09/25/21,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/25/21,09/25/21,04:20 PM,05:20 PM,FALSE,TRUE,09/25/21,12:20 PM,01:20 PM,FREE,BUSY
09/26/21,01:20 PM,02:20 PM,Cardinals at Cubs,Wrigley Field - Chicago,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score- TUDN WRTO 1200",09/26/21,09/26/21,04:20 PM,05:20 PM,FALSE,TRUE,09/26/21,12:20 PM,01:20 PM,FREE,BUSY
03/17/22,01:05 PM,04:05 PM,White Sox at Cubs,Sloan Park - Mesa,"Local TV: Marquee Sports Network- MLBN",03/17/22,03/17/22,04:05 PM,07:05 PM,FALSE,TRUE,03/17/22,12:05 PM,03:05 PM,FREE,BUSY
03/19/22,01:05 PM,04:05 PM,Padres at Cubs,Sloan Park - Mesa,"Local TV: Marquee Sports Network ----- Local Radio: 670 The Score",03/19/22,03/19/22,04:05 PM,07:05 PM,FALSE,TRUE,03/19/22,12:05 PM,03:05 PM,FREE,BUSY
03/21/22,01:05 PM,04:05 PM,Reds at Cubs,Sloan Park - Mesa,"Local TV: Marquee Sports Network",03/21/22,03/21/22,04:05 PM,07:05 PM,FALSE,TRUE,03/21/22,12:05 PM,03:05 PM,FREE,BUSY
03/23/22,01:05 PM,04:05 PM,Athletics at Cubs,Sloan Park - Mesa,"Local TV: Marquee Sports Network",03/23/22,03/23/22,04:05 PM,07:05 PM,FALSE,TRUE,03/23/22,12:05 PM,03:05 PM,FREE,BUSY
